,Date,Open,High,Low,Close,Volume,Market Cap
124,2022-05-17,1.03072931464e-09,1.08931106084e-09,1.02367807279e-09,1.05796751227e-09,64977.36,0
125,2022-05-16,1.08001905215e-09,1.08587756087e-09,1.00917584797e-09,1.03072601502e-09,54398.31,0
126,2022-05-15,1.03441723735e-09,1.08770172719e-09,9.2100693296e-10,1.08001905215e-09,54673.45,0
127,2022-05-14,1.06678458894e-09,1.09708819787e-09,9.8184691434e-10,1.03441947797e-09,64838.45,0
128,2022-05-13,1.0788605721e-09,1.21565312788e-09,1.0534022557e-09,1.06678458894e-09,95499.11,0
129,2022-05-12,1.09798671901e-09,1.13686521298e-09,8.8546118074e-10,1.0788605721e-09,67963.31,0
130,2022-05-11,1.33725895113e-09,1.34282369389e-09,1.08761160214e-09,1.09798671901e-09,94950.6,0
131,2022-05-10,1.20132254897e-09,1.37178155126e-09,1.14806020514e-09,1.33725895113e-09,121697.06,0
132,2022-05-09,4.4075922719e-09,6.27925852167e-09,1.19613701786e-09,1.20165338124e-09,177777.89,0
133,2022-05-08,2.71304077683e-09,5.75798750545e-09,2.71304077683e-09,4.40704427927e-09,265252.17,0
134,2022-05-07,2.81252863053e-09,4.0371024874e-09,2.39349545366e-09,2.71271437337e-09,191084.79,0
135,2022-05-06,1.24343782499e-09,1.1039869953188e-07,1.21971743426e-09,2.81269347319e-09,183245.82,0
136,2022-05-05,1.53703066533e-09,1.58301778253e-09,1.22236781514e-09,1.24343782499e-09,13873.93,0
137,2022-05-04,1.53182706626e-09,1.5602663505e-09,1.49469104868e-09,1.53703066533e-09,11084.71,0
138,2022-05-03,1.70784585303e-09,1.73056627195e-09,1.52868728186e-09,1.53182706626e-09,8243.0,0
139,2022-05-02,1.72483408239e-09,1.75689758401e-09,1.68714192132e-09,1.70784585303e-09,1762.74,0
140,2022-05-01,1.70359530084e-09,1.75488613045e-09,1.69158414544e-09,1.72483408239e-09,1283.09,0
141,2022-04-30,1.74662157259e-09,1.8034177548e-09,1.69935772492e-09,1.70359530084e-09,5310.52,0
142,2022-04-29,1.83814881118e-09,1.85456745974e-09,1.6890901444e-09,1.74662157259e-09,6242.39,0
143,2022-04-28,1.79340711399e-09,1.85168791944e-09,1.78083758793e-09,1.83814881118e-09,8283.64,0
144,2022-04-27,1.84255431605e-09,1.85044710578e-09,1.77547441064e-09,1.79340711399e-09,8156.96,0
145,2022-04-26,1.97626609233e-09,1.99560774526e-09,1.80589638889e-09,1.84255431605e-09,6617.39,0
146,2022-04-25,1.96455384814e-09,2.09454276802e-09,1.84992589561e-09,1.97626609233e-09,9988.56,0
147,2022-04-24,1.92905120593e-09,1.99315877145e-09,1.92905120593e-09,1.96455384814e-09,9486.87,0
148,2022-04-23,1.89621917316e-09,1.96651711496e-09,1.87653909762e-09,1.92905158384e-09,9040.16,0
149,2022-04-22,1.90152918733e-09,1.99962766878e-09,1.89125720094e-09,1.89621679133e-09,10737.03,0
150,2022-04-21,1.90622354441e-09,2.04448611602e-09,1.88126829392e-09,1.90152918733e-09,19550.76,0
151,2022-04-20,1.90034522778e-09,2.07007006695e-09,1.88967540307e-09,1.90622354441e-09,16461.87,0
152,2022-04-19,1.92952544987e-09,1.96117142301e-09,1.88540394845e-09,1.90034522778e-09,7530.8,0
153,2022-04-18,1.87488484653e-09,1.93501576511e-09,1.83990177045e-09,1.92952544987e-09,9720.88,0
154,2022-04-17,1.97908085812e-09,2.10013995341e-09,1.8724383544e-09,1.87488484653e-09,5397.5,0
155,2022-04-16,1.96283070564e-09,2.00284037294e-09,1.94764618991e-09,1.97908085812e-09,1853.45,0
156,2022-04-15,1.99331526421e-09,2.10683058584e-09,1.96065372981e-09,1.96283070564e-09,1680.01,0
157,2022-04-14,2.04516223026e-09,2.16203198551e-09,1.96475680836e-09,1.99331526421e-09,1144.24,0
158,2022-04-13,1.98467036992e-09,2.16541673874e-09,1.96785046177e-09,2.04516223026e-09,3897.0,0
159,2022-04-12,1.93072959449e-09,1.98713484129e-09,1.81522840314e-09,1.98467036992e-09,10935.67,0
160,2022-04-11,2.13293926211e-09,2.13655666881e-09,1.81529690717e-09,1.93072959446e-09,7954.2,0
161,2022-04-10,2.15437580702e-09,2.18425023563e-09,2.12339886555e-09,2.13293926211e-09,1220.48,0
162,2022-04-09,2.1403539879e-09,2.1872115388e-09,2.13764883816e-09,2.15437580702e-09,1740.53,0
163,2022-04-08,2.19854423387e-09,2.24249304341e-09,2.13080346324e-09,2.14035558137e-09,3588.49,0
164,2022-04-07,2.11270547421e-09,2.2134621997e-09,2.09663280035e-09,2.19854423387e-09,7798.53,0
165,2022-04-06,2.1815777675e-09,2.18567531195e-09,2.09542420186e-09,2.11270547421e-09,24501.99,0
166,2022-04-05,2.64263450192e-09,2.75297907949e-09,2.13753900879e-09,2.1815777675e-09,21603.21,0
167,2022-04-04,2.68014692171e-09,2.69957024938e-09,1.02716410289e-09,2.64263450192e-09,5145.96,0
168,2022-04-03,2.5740300152e-09,2.74245023694e-09,2.53238421124e-09,2.68014692171e-09,8017.34,0
169,2022-04-02,2.55041105581e-09,2.65084186483e-09,2.54856899944e-09,2.57402102447e-09,4659.88,0
170,2022-04-01,2.50267851822e-09,2.56448775948e-09,2.39425876133e-09,2.55041105581e-09,3729.17,0
171,2022-03-31,2.60924727308e-09,2.67174289837e-09,2.48546246817e-09,2.50267851822e-09,3101.19,0
172,2022-03-30,2.54933356644e-09,2.65893980845e-09,2.50947460444e-09,2.60924727308e-09,6434.4,0
173,2022-03-29,2.52829956517e-09,2.62022936101e-09,2.52829956517e-09,2.54933356644e-09,10561.04,0
174,2022-03-28,2.45758150325e-09,2.56070749466e-09,2.43657221486e-09,2.52829959523e-09,15395.55,0
175,2022-03-27,2.4930434147e-09,2.54933467425e-09,2.40967507182e-09,2.45758150325e-09,14572.63,0
176,2022-03-26,2.50272164971e-09,2.54900302892e-09,2.46451906264e-09,2.4930434147e-09,6371.61,0
177,2022-03-25,2.59731293048e-09,2.63908247962e-09,2.50271600288e-09,2.50272164971e-09,5172.15,0
178,2022-03-24,2.64171233169e-09,2.66003498166e-09,2.5471360081e-09,2.59731293048e-09,11937.56,0
179,2022-03-23,2.91713372558e-09,2.93269974626e-09,2.61824735582e-09,2.64171233169e-09,10715.8,0
180,2022-03-22,2.84862546326e-09,2.94625283051e-09,2.84293839743e-09,2.91713372558e-09,5069.28,0
181,2022-03-21,2.77508022545e-09,2.88126058843e-09,2.71959712565e-09,2.84862546326e-09,6528.47,0
182,2022-03-20,2.88266629784e-09,2.90984334424e-09,2.7480082465e-09,2.77508022545e-09,11054.4,0
183,2022-03-19,2.95887216854e-09,2.98721209121e-09,2.81650920132e-09,2.88266629784e-09,9291.08,0
184,2022-03-18,2.93661594178e-09,2.99710193603e-09,2.85877440725e-09,2.95887216854e-09,6204.51,0
185,2022-03-17,2.8384708472e-09,3.03627140788e-09,2.81526896108e-09,2.93661594178e-09,7616.67,0
186,2022-03-16,2.74519370901e-09,2.84382273432e-09,2.68242310799e-09,2.8384708472e-09,4549.82,0
187,2022-03-15,2.78375178149e-09,2.80470394648e-09,2.70852872257e-09,2.74519370901e-09,3606.33,0
188,2022-03-14,2.66752296525e-09,2.80134271509e-09,2.66752296525e-09,2.78375178149e-09,2880.84,0
189,2022-03-13,2.77746365917e-09,2.81582755263e-09,2.66752296525e-09,2.66752296525e-09,2177.0,0
190,2022-03-12,2.78461831872e-09,2.84077463904e-09,2.76807256467e-09,2.77746365917e-09,1805.37,0
191,2022-03-11,2.77170014382e-09,2.84451918916e-09,2.74021709957e-09,2.78461831872e-09,2152.47,0
192,2022-03-10,2.99694734377e-09,3.00741405751e-09,2.74173597932e-09,2.77170014382e-09,7401.08,0
193,2022-03-09,2.78405566128e-09,3.05434921728e-09,2.77750825472e-09,2.99694734377e-09,9453.3,0
194,2022-03-08,2.76905368907e-09,2.86856465752e-09,2.75088863808e-09,2.78405566128e-09,5709.86,0
195,2022-03-07,2.80600234114e-09,2.8466702788e-09,2.65394676902e-09,2.76905368907e-09,6828.78,0
196,2022-03-06,2.88320119809e-09,2.92458564355e-09,2.7686151675e-09,2.80600234114e-09,11621.8,0
